Algorithm_And_Search_Name,Maze_Size,Maze_Density,Water_Density,Path_Size,Num_Nodes_Expanded,Time,Peak_Memory_Usage,Start_Region,Goal_Region,Search_Type,Search_Algorithm,Search_Type_Name,Search_Algorithm_Name,Random_Seed,Maze_Object
tree_BFS,10,0.0,0.35,4.0,24,0.0003609657287597656,11192,1,2,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 0, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 3), maze_goal=(2, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=1, goal_region=2)"
tree_BFS,10,0.0,0.35,8.0,1258,0.02071690559387207,547204,1,3,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 0, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 0, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 3), maze_goal=(7, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=1, goal_region=3)"
tree_BFS,10,0.0,0.35,9.0,1915,0.03312420845031738,819852,1,4,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 0, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 3), maze_goal=(7, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=1, goal_region=4)"
tree_BFS,10,0.0,0.35,5.0,67,0.0009539127349853516,24424,1,5,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 0, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 3), maze_goal=(5, 4), size=10, obstacle_density=0.0, water_density=0.35, start_region=1, goal_region=5)"
tree_BFS,10,0.0,0.35,8.0,883,0.016705989837646484,372036,2,1,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 8), maze_goal=(2, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=2, goal_region=1)"
tree_BFS,10,0.0,0.35,13.0,38712,0.8280689716339111,16436564,2,3,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 0, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 8), maze_goal=(7, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=2, goal_region=3)"
tree_BFS,10,0.0,0.35,8.0,426,0.007035017013549805,179428,2,4,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 8), maze_goal=(7, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=2, goal_region=4)"
tree_BFS,10,0.0,0.35,8.0,455,0.0076100826263427734,191108,2,5,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(2, 8), maze_goal=(5, 4), size=10, obstacle_density=0.0, water_density=0.35, start_region=2, goal_region=5)"
tree_BFS,10,0.0,0.35,8.0,625,0.009817123413085938,265836,3,1,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 3), maze_goal=(2, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=3, goal_region=1)"
tree_BFS,10,0.0,0.35,9.0,1521,0.025913000106811523,651012,3,2,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 3), maze_goal=(2, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=3, goal_region=2)"
tree_BFS,10,0.0,0.35,4.0,30,0.00045609474182128906,9528,3,4,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 3), maze_goal=(7, 6), size=10, obstacle_density=0.0, water_density=0.35, start_region=3, goal_region=4)"
tree_BFS,10,0.0,0.35,4.0,18,0.0003161430358886719,5336,3,5,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 3), maze_goal=(5, 4), size=10, obstacle_density=0.0, water_density=0.35, start_region=3, goal_region=5)"
tree_BFS,10,0.0,0.35,13.0,32459,0.6929206848144531,13766596,4,1,1,1,tree,BFS,60,"Maze(generated_maze=[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 2, 0, 2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 2, 0, 2, 0, 2, 0, 1], [1, 2, 2, 0, 0, 0, 0, 0, 0, 1], [1, 2, 2, 2, 0, 2, 2, 2, 0, 1], [1, 2, 0, 0, 2, 0, 2, 0, 2, 1], [1, 2, 0, 0, 0, 0, 2, 0, 2, 1], [1, 2, 0, 2, 0, 0, 0, 0, 0, 1], [1, 2, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], maze_start=(7, 8), maze_goal=(2, 1), size=10, obstacle_density=0.0, water_density=0.35, start_region=4, goal_region=1)"
